anl_id,anl_machine,anl_file_md5,anl_file_name,name,anl_score,anl_duration,anl_network_udp,anl_network_tcp,anl_network_dns,anl_signatures_sv1,anl_signatures_sv2,anl_signatures_sv3,anl_signatures_sv4,anl_signatures_sv5,anl_signatures_sv6,anl_file_created,anl_regkey_written,anl_dll_loaded,anl_file_failed,anl_regkey_opened,anl_resolves_host,anl_file_written,anl_fetches_url,anl_regkey_read
195,cuckoo-w7-maldome-opened,8e1193435fd401c90e004fcf7f4db2ee,virus_win32_mofksys_b-83-win32_exe-tjprojmain.exe-8e1193435fd401c90e004fcf7f4db2ee.exe,mikey,8,133,14,1,2,5,6,4,0,1,1,15,6,39,1,112,0,8,0,168
25,cuckoo-w7-vmcloak,8e1193435fd401c90e004fcf7f4db2ee,virus_win32_mofksys_b-83-win32_exe-tjprojmain.exe-8e1193435fd401c90e004fcf7f4db2ee.exe,mikey,9,138,15,6,6,5,7,5,0,1,1,15,6,41,1,278,0,8,0,242
179,cuckoo-w7-opened,8e1193435fd401c90e004fcf7f4db2ee,virus_win32_mofksys_b-83-win32_exe-tjprojmain.exe-8e1193435fd401c90e004fcf7f4db2ee.exe,mikey,8,142,17,0,2,5,6,4,0,1,1,15,6,42,1,278,0,8,0,228
80,cuckoo-w7-01,8e65cebbec18da73167465fe10e7bea4,trojan_win32_coinminer_at-68-win32_exe-undefined-8e65cebbec18da73167465fe10e7bea4.exe,coinminer,8.8,138,23,10,9,6,10,4,0,0,1,14,27,53,2,523,0,14,16,1203
234,cuckoo-w7-maldome-opened,8e65cebbec18da73167465fe10e7bea4,trojan_win32_coinminer_at-68-win32_exe-undefined-8e65cebbec18da73167465fe10e7bea4.exe,coinminer,11,133,14,1,3,7,8,7,0,1,1,15,30,53,7,498,1,15,17,1164
53,cuckoo-w7-vmcloak,8e65cebbec18da73167465fe10e7bea4,trojan_win32_coinminer_at-68-win32_exe-undefined-8e65cebbec18da73167465fe10e7bea4.exe,coinminer,8.6,139,17,5,7,5,10,4,0,0,1,14,8,28,0,495,0,14,15,1095
207,cuckoo-w7-opened,8e65cebbec18da73167465fe10e7bea4,trojan_win32_coinminer_at-68-win32_exe-undefined-8e65cebbec18da73167465fe10e7bea4.exe,coinminer,4.2,38,16,0,2,4,4,1,0,0,1,0,0,19,0,2,0,0,1,82
142,cuckoo-w7-01,9155c89bb0c0a541132b4cf605039e35,worm_win32_pykspa_c-88-win32_exe-undefined-9155c89bb0c0a541132b4cf605039e35.exe,pykspa,10.2,135,73,31,59,3,8,6,2,0,1,10,31,40,41,491,50,11,3,2250
296,cuckoo-w7-maldome-opened,9155c89bb0c0a541132b4cf605039e35,worm_win32_pykspa_c-88-win32_exe-undefined-9155c89bb0c0a541132b4cf605039e35.exe,pykspa,9.4,133,65,20,53,3,8,6,1,0,1,10,31,29,40,492,50,11,3,2249
46,cuckoo-w7-vmcloak,9155c89bb0c0a541132b4cf605039e35,worm_win32_pykspa_c-88-win32_exe-undefined-9155c89bb0c0a541132b4cf605039e35.exe,pykspa,9.6,138,68,24,56,3,8,5,2,0,1,10,31,123,40,488,48,11,3,2209
200,cuckoo-w7-opened,9155c89bb0c0a541132b4cf605039e35,worm_win32_pykspa_c-88-win32_exe-undefined-9155c89bb0c0a541132b4cf605039e35.exe,pykspa,8.2,139,53,0,17,3,8,4,1,0,1,10,31,22,40,490,15,11,3,2246
72,cuckoo-w7-01,926cae0aea319cb8f9474f5b88134fa7,trojan_win32_vb-85-win32_exe-incubus.exe-926cae0aea319cb8f9474f5b88134fa7.exe,cosmu,11.6,143,25,17,13,4,8,8,0,0,1,23,31,21,4,32,0,22,0,63
226,cuckoo-w7-maldome-opened,926cae0aea319cb8f9474f5b88134fa7,trojan_win32_vb-85-win32_exe-incubus.exe-926cae0aea319cb8f9474f5b88134fa7.exe,cosmu,9.2,147,16,1,3,4,6,8,0,0,1,24,31,20,2,31,0,23,0,62
29,cuckoo-w7-vmcloak,926cae0aea319cb8f9474f5b88134fa7,trojan_win32_vb-85-win32_exe-incubus.exe-926cae0aea319cb8f9474f5b88134fa7.exe,cosmu,9,159,16,5,7,4,7,7,0,0,1,16,31,20,3,31,0,15,0,62
183,cuckoo-w7-opened,926cae0aea319cb8f9474f5b88134fa7,trojan_win32_vb-85-win32_exe-incubus.exe-926cae0aea319cb8f9474f5b88134fa7.exe,cosmu,8.6,309,16,0,2,4,6,7,0,0,1,29,31,22,2,32,0,28,0,62
21,cuckoo-w7-01,935487f8e2926d6f9dad6548df100fab,worm_win32_dorkbot_a-86-win32_exe-undefined-935487f8e2926d6f9dad6548df100fab.exe,ngrbot,20.4,194,52,63,32,4,17,15,0,1,1,268,53,112,46,1125,23,261,35,3149
175,cuckoo-w7-maldome-opened,935487f8e2926d6f9dad6548df100fab,worm_win32_dorkbot_a-86-win32_exe-undefined-935487f8e2926d6f9dad6548df100fab.exe,ngrbot,20.2,191,38,23,15,5,16,16,0,2,1,59,86,122,23,1144,14,51,27,3163
35,cuckoo-w7-vmcloak,935487f8e2926d6f9dad6548df100fab,worm_win32_dorkbot_a-86-win32_exe-undefined-935487f8e2926d6f9dad6548df100fab.exe,ngrbot,19.6,142,48,34,29,4,18,14,0,2,1,237,204,123,29,1248,22,232,29,3729
189,cuckoo-w7-opened,935487f8e2926d6f9dad6548df100fab,worm_win32_dorkbot_a-86-win32_exe-undefined-935487f8e2926d6f9dad6548df100fab.exe,ngrbot,19.2,137,20,0,5,5,15,15,0,2,1,22,62,103,12,1001,4,17,18,3038
78,cuckoo-w7-vmcloak,948cf3aa2181b2c69ce3fe6d37941d01,worm_win32_yuner_a-92-win32_exe-undefined-948cf3aa2181b2c69ce3fe6d37941d01.exe,hybris,8.6,196,18,5,7,2,4,5,0,1,1,1,30,19,1,200,0,5,0,322
